Land size,Price per perch,District,City,Availability of electricity,Availability of tap water
20,1050000,Colombo,Moratuwa,0,0
10.5,1025000,Kalutara,Panadura,0,0
10,480000,Gampaha,Gampaha City,0,0
6,630000,Colombo,Homagama,0,0
10,500000,Kalutara,Horana,0,0
6.5,1140000,Colombo,Homagama,0,0
10,515000,Colombo,Homagama,0,0
10,257500,Colombo,Homagama,0,0
10,320000,Kalutara,Bandaragama,0,0
12,650000,Badulla,Haputale,0,0
50,5000000,Colombo,Dehiwala,0,0
15,4800000,Colombo,Mount Lavinia,0,0
10,200000,Kalutara,Kalutara City,0,0
6.5,437500,Colombo,Homagama,1,1
10.5,1025000,Colombo,Moratuwa,0,0
18,16111111.11,Colombo,Colombo 3,0,1
6,1475000,Colombo,Maharagama,0,0
6.5,5000000,Colombo,Battaramulla,0,0
12,320000,Colombo,Padukka,0,0
6,630000,Colombo,Godagama,0,0
6.5,173076.92,Colombo,Homagama,1,1
7,2300000,Colombo,Talawatugoda,0,0
12.5,215000,Kegalle,Kegalle City,0,0
183,81967.21,Kalutara,Horana,1,1
14,275000,Ratnapura,Karawita,0,0
7,645000,Colombo,Homagama,0,0
18.25,3000000,Colombo,Battaramulla,0,0
7.9,1590000,Colombo,Talawatugoda,1,1
10,4000000,Colombo,Malabe,0,0
12.5,250000,Colombo,Athurugiriya,0,0
13.5,425000,Kalutara,Panadura,0,0
13.5,3500000,Colombo,Malabe,0,0
100,78000,Gampaha,Mirigama,0,0
6.3,545000,Gampaha,Delgoda,0,0
7,214285.71,Hambantota,Tangalla,0,0
8,1750000,Colombo,Maharagama,0,0
6.5,230769.23,Hambantota,Tangalla,0,0
10,260000,Kalutara,Horana,0,0
20.7,7584541.06,Colombo,Dehiwala,1,0
20,1400000,Colombo,Moratuwa,0,0
58,1500000,Galle,Galle City,0,0
11,268181.82,Ratnapura,Embilipitiya,0,0
11,1050000,Gampaha,Gampaha City,0,0
9.6,1200000,Matara,Matara City,0,0
20.8,950000,Colombo,Athurugiriya,0,0
8,1695000,Colombo,Athurugiriya,0,0
10,290000,Ratnapura,Eheliyagoda,0,0
6.5,1500000,Colombo,Athurugiriya,1,1
7,4800000,Colombo,Talawatugoda,0,0
13,3500000,Colombo,Dehiwala,0,0
6.75,1090000,Colombo,Athurugiriya,0,0
10,450000,Ratnapura,Eheliyagoda,0,0
7.54,2200000,Colombo,Piliyandala,0,0
6,1000000,Colombo,Kesbewa,0,0
10,250000,Kalutara,Horana,0,0
10,600000,Colombo,Avissawella,0,0
6,1500000,Colombo,Boralesgamuwa,0,0
27,3800000,Colombo,Dehiwala,0,0
6.5,2850000,Colombo,Malabe,0,0
6,1525000,Gampaha,Kadawatha,0,0
7,1500000,Hambantota,Tangalla,0,0
12.6,670000,Gampaha,Kadawatha,0,0
10,450000,Hambantota,Hambantota City,0,0
15,920000,Gampaha,Kadawatha,0,0
10,650000,Kalutara,Panadura,0,0
10.2,833000,Colombo,Piliyandala,0,1
18,230000,Gampaha,Gampaha City,0,0
181,100000,Kandy,Peradeniya,1,1
2240,42410.71,Colombo,Avissawella,1,0
6,975000,Gampaha,Gampaha City,0,0
350,12857.14,Kegalle,Galigamuwa,0,0
12.5,360000,Gampaha,Mirigama,1,0
13.6,3000000,Colombo,Nugegoda,1,1
12.8,2675000,Colombo,Battaramulla,0,0
60,300000,Monaragala,Wellawaya,0,1
20,2000000,Colombo,Battaramulla,0,0
10,890000,Gampaha,Gampaha City,0,0
10,675000,Gampaha,Veyangoda,0,0
7,960000,Colombo,Homagama,0,0
8,650000,Colombo,Piliyandala,0,0
10,975000,Kalutara,Panadura,0,0
10,1295000,Colombo,Pannipitiya,0,0
25,1000000,Colombo,Battaramulla,0,0
75,2400000,Gampaha,Katunayake,0,0
11,7000000,Colombo,Athurugiriya,0,0
7.2,5555555.56,Colombo,Dehiwala,0,0
6,4750000,Colombo,Battaramulla,0,0
11.5,5300000,Kandy,Kandy City,1,1
6,1475000,Colombo,Pannipitiya,0,0
8,2750000,Colombo,Boralesgamuwa,0,0
25,48000,Colombo,Battaramulla,0,0
160,57500,Gampaha,Mirigama,0,0
10,1275000,Colombo,Talawatugoda,0,0
9.85,1275000,Colombo,Talawatugoda,0,0
9,2800000,Colombo,Nawala,0,0
10,2375000,Colombo,Pannipitiya,1,1
6.3,940000,Colombo,Homagama,1,1
10,700000,Kalutara,Kalutara City,0,0
6,1500000,Matara,Weligama,0,0
7,930000,Colombo,Homagama,1,1
16,230000,Gampaha,Minuwangoda,0,0
6.5,450000,Colombo,Homagama,0,0
14.2,2000000,Colombo,Malabe,0,0
12.5,215000,Badulla,Bandarawela,0,0
6.5,1200000,Colombo,Kesbewa,0,0
12.5,245000,Gampaha,Veyangoda,0,0
10,750000,Kalutara,Kalutara City,0,0
20,3000000,Colombo,Maharagama,0,0
14,275000,Ratnapura,Ratnapura City,0,0
6.3,930000,Colombo,Homagama,1,1
6.1,940000,Colombo,Homagama,1,1
7,650000,Colombo,Homagama,1,1
16,650000,Gampaha,Minuwangoda,0,0
8,1500000,Colombo,Talawatugoda,0,0
41,280000,Gampaha,Gampaha City,0,0
6.1,3500000,Colombo,Talawatugoda,0,0
7,680000,Colombo,Meegoda,0,0
6.4,950000,Colombo,Homagama,1,1
6,1600000,Colombo,Pannipitiya,1,1
8,680000,Colombo,Meegoda,0,0
12.5,215000,Kandy,Kandy City,0,0
15,160000,Kurunegala,Narammala,0,0
12.5,215000,Colombo,Nugegoda,0,0
7,685000,Colombo,Meegoda,0,0
10,248500,Colombo,Maharagama,0,0
7,1500000,Matara,Dikwella,0,0
15,360000,Gampaha,Kalagedihena,0,0
200,325000,Badulla,Ella,0,0
104,8000000,Colombo,Colombo 10,0,0
12.5,675000,Gampaha,Minuwangoda,0,0
12,865000,Kurunegala,Kurunegala City,0,0
15,247500,Kandy,Gampola,0,0
18,155555.56,Gampaha,Kirindiwela,0,0
6.5,230769.23,Kalutara,Horana,0,0
160,160000,Gampaha,Nittambuwa,1,1
