Land size,Price per perch,District,City,Availability of electricity,Availability of tap water
20.0,1050000.0,Colombo,Moratuwa,0,0
10.5,1025000.0,Kalutara,Panadura,0,0
10.0,480000.0,Gampaha,Gampaha City,0,0
6.0,630000.0,Colombo,Homagama,0,0
10.0,500000.0,Kalutara,Horana,0,0
6.5,1140000.0,Colombo,Homagama,0,0
10.0,515000.0,Colombo,Homagama,0,0
10.0,257500.0,Colombo,Homagama,0,0
10.0,320000.0,Kalutara,Bandaragama,0,0
12.0,650000.0,Badulla,Haputale,0,0
50.0,5000000.0,Colombo,Dehiwala,0,0
15.0,4800000.0,Colombo,Mount Lavinia,0,0
10.0,200000.0,Kalutara,Kalutara City,0,0
6.5,437500.0,Colombo,Homagama,1,1
10.5,1025000.0,Colombo,Moratuwa,0,0
18.0,16111111.11,Colombo,Colombo 3,0,1
6.0,1475000.0,Colombo,Maharagama,0,0
6.5,5000000.0,Colombo,Battaramulla,0,0
12.0,320000.0,Colombo,Padukka,0,0
6.0,630000.0,Colombo,Godagama,0,0
6.5,173076.92,Colombo,Homagama,1,1
7.0,2300000.0,Colombo,Talawatugoda,0,0
12.5,215000.0,Kegalle,Kegalle City,0,0
183.0,81967.21,Kalutara,Horana,1,1
14.0,275000.0,Ratnapura,Karawita,0,0
7.0,645000.0,Colombo,Homagama,0,0
18.25,3000000.0,Colombo,Battaramulla,0,0
7.9,1590000.0,Colombo,Talawatugoda,1,1
10.0,4000000.0,Colombo,Malabe,0,0
12.5,250000.0,Colombo,Athurugiriya,0,0
13.5,425000.0,Kalutara,Panadura,0,0
13.5,3500000.0,Colombo,Malabe,0,0
100.0,78000.0,Gampaha,Mirigama,0,0
6.3,545000.0,Gampaha,Delgoda,0,0
7.0,214285.71,Hambantota,Tangalla,0,0
8.0,1750000.0,Colombo,Maharagama,0,0
6.5,230769.23,Hambantota,Tangalla,0,0
10.0,260000.0,Kalutara,Horana,0,0
20.7,7584541.06,Colombo,Dehiwala,1,0
20.0,1400000.0,Colombo,Moratuwa,0,0
58.0,1500000.0,Galle,Galle City,0,0
11.0,268181.82,Ratnapura,Embilipitiya,0,0
11.0,1050000.0,Gampaha,Gampaha City,0,0
9.6,1200000.0,Matara,Matara City,0,0
20.8,950000.0,Colombo,Athurugiriya,0,0
8.0,1695000.0,Colombo,Athurugiriya,0,0
10.0,290000.0,Ratnapura,Eheliyagoda,0,0
6.5,1500000.0,Colombo,Athurugiriya,1,1
7.0,4800000.0,Colombo,Talawatugoda,0,0
13.0,3500000.0,Colombo,Dehiwala,0,0
6.75,1090000.0,Colombo,Athurugiriya,0,0
10.0,450000.0,Ratnapura,Eheliyagoda,0,0
7.54,2200000.0,Colombo,Piliyandala,0,0
6.0,1000000.0,Colombo,Kesbewa,0,0
10.0,250000.0,Kalutara,Horana,0,0
10.0,600000.0,Colombo,Avissawella,0,0
6.0,1500000.0,Colombo,Boralesgamuwa,0,0
27.0,3800000.0,Colombo,Dehiwala,0,0
6.5,2850000.0,Colombo,Malabe,0,0
6.0,1525000.0,Gampaha,Kadawatha,0,0
7.0,1500000.0,Hambantota,Tangalla,0,0
12.6,670000.0,Gampaha,Kadawatha,0,0
10.0,450000.0,Hambantota,Hambantota City,0,0
15.0,920000.0,Gampaha,Kadawatha,0,0
10.0,650000.0,Kalutara,Panadura,0,0
10.2,833000.0,Colombo,Piliyandala,0,1
18.0,230000.0,Gampaha,Gampaha City,0,0
181.0,100000.0,Kandy,Peradeniya,1,1
2240.0,42410.71,Colombo,Avissawella,1,0
6.0,975000.0,Gampaha,Gampaha City,0,0
350.0,12857.14,Kegalle,Galigamuwa,0,0
12.5,360000.0,Gampaha,Mirigama,1,0
13.6,3000000.0,Colombo,Nugegoda,1,1
12.8,2675000.0,Colombo,Battaramulla,0,0
60.0,300000.0,Monaragala,Wellawaya,0,1
20.0,2000000.0,Colombo,Battaramulla,0,0
10.0,890000.0,Gampaha,Gampaha City,0,0
10.0,675000.0,Gampaha,Veyangoda,0,0
7.0,960000.0,Colombo,Homagama,0,0
8.0,650000.0,Colombo,Piliyandala,0,0
10.0,975000.0,Kalutara,Panadura,0,0
10.0,1295000.0,Colombo,Pannipitiya,0,0
25.0,1000000.0,Colombo,Battaramulla,0,0
75.0,2400000.0,Gampaha,Katunayake,0,0
11.0,7000000.0,Colombo,Athurugiriya,0,0
7.2,5555555.56,Colombo,Dehiwala,0,0
6.0,4750000.0,Colombo,Battaramulla,0,0
11.5,5300000.0,Kandy,Kandy City,1,1
6.0,1475000.0,Colombo,Pannipitiya,0,0
8.0,2750000.0,Colombo,Boralesgamuwa,0,0
25.0,48000.0,Colombo,Battaramulla,0,0
160.0,57500.0,Gampaha,Mirigama,0,0
10.0,1275000.0,Colombo,Talawatugoda,0,0
9.85,1275000.0,Colombo,Talawatugoda,0,0
9.0,2800000.0,Colombo,Nawala,0,0
10.0,2375000.0,Colombo,Pannipitiya,1,1
6.3,940000.0,Colombo,Homagama,1,1
10.0,700000.0,Kalutara,Kalutara City,0,0
6.0,1500000.0,Matara,Weligama,0,0
7.0,930000.0,Colombo,Homagama,1,1
16.0,230000.0,Gampaha,Minuwangoda,0,0
6.5,450000.0,Colombo,Homagama,0,0
14.2,2000000.0,Colombo,Malabe,0,0
12.5,215000.0,Badulla,Bandarawela,0,0
6.5,1200000.0,Colombo,Kesbewa,0,0
12.5,245000.0,Gampaha,Veyangoda,0,0
10.0,750000.0,Kalutara,Kalutara City,0,0
20.0,3000000.0,Colombo,Maharagama,0,0
14.0,275000.0,Ratnapura,Ratnapura City,0,0
6.3,930000.0,Colombo,Homagama,1,1
6.1,940000.0,Colombo,Homagama,1,1
7.0,650000.0,Colombo,Homagama,1,1
16.0,650000.0,Gampaha,Minuwangoda,0,0
8.0,1500000.0,Colombo,Talawatugoda,0,0
41.0,280000.0,Gampaha,Gampaha City,0,0
6.1,3500000.0,Colombo,Talawatugoda,0,0
7.0,680000.0,Colombo,Meegoda,0,0
6.4,950000.0,Colombo,Homagama,1,1
6.0,1600000.0,Colombo,Pannipitiya,1,1
8.0,680000.0,Colombo,Meegoda,0,0
12.5,215000.0,Kandy,Kandy City,0,0
15.0,160000.0,Kurunegala,Narammala,0,0
12.5,215000.0,Colombo,Nugegoda,0,0
7.0,685000.0,Colombo,Meegoda,0,0
10.0,248500.0,Colombo,Maharagama,0,0
7.0,1500000.0,Matara,Dikwella,0,0
15.0,360000.0,Gampaha,Kalagedihena,0,0
200.0,325000.0,Badulla,Ella,0,0
104.0,8000000.0,Colombo,Colombo 10,0,0
12.5,675000.0,Gampaha,Minuwangoda,0,0
12.0,865000.0,Kurunegala,Kurunegala City,0,0
15.0,247500.0,Kandy,Gampola,0,0
18.0,155555.56,Gampaha,Kirindiwela,0,0
6.5,230769.23,Kalutara,Horana,0,0
160.0,160000.0,Gampaha,Nittambuwa,1,1
19.3,2200000.0,Colombo,Battaramulla,0,0
15.0,865000.0,Kurunegala,Kurunegala City,0,0
17.0,1400000.0,Badulla,Bandarawela,0,0
8.4,3090000.0,Colombo,Battaramulla,1,1
10.0,187500.0,Colombo,Nugegoda,0,0
7.2,3090000.0,Colombo,Battaramulla,1,1
12.5,395000.0,Gampaha,Ja-Ela,0,0
12.0,3500000.0,Colombo,Moratuwa,0,0
18.0,3500000.0,Colombo,Moratuwa,0,0
7.0,1300000.0,Colombo,Athurugiriya,0,0
10.0,975000.0,Colombo,Piliyandala,1,1
7.0,6500000.0,Colombo,Moratuwa,0,0
8.5,3600000.0,Colombo,Kotte,0,0
10.0,1550000.0,Gampaha,Kirindiwela,1,1
20.75,6500000.0,Colombo,Dehiwala,0,0
6.2,2790000.0,Colombo,Battaramulla,1,1
10.0,25000.0,Colombo,Avissawella,0,0
67.0,700000.0,Colombo,Pannipitiya,0,0
10.0,3300000.0,Colombo,Talawatugoda,0,0
19.5,13000000.0,Colombo,Colombo 6,0,0
10.0,975000.0,Colombo,Pannipitiya,0,0
36.0,225000.0,Gampaha,Kalagedihena,0,0
12.5,250000.0,Gampaha,Divulapitiya,1,1
7.2,13500000.0,Colombo,Colombo 5,1,1
12.0,395000.0,Gampaha,Ja-Ela,0,0
7.5,275000.0,Matale,Dambulla,0,0
8.5,3750000.0,Colombo,Nawala,0,0
10.0,2500000.0,Colombo,Ratmalana,1,0
12.0,675000.0,Gampaha,Minuwangoda,1,1
10.0,1100000.0,Colombo,Athurugiriya,0,0
9.5,152631.58,Gampaha,Kadawatha,0,0
11.5,30000000.0,Colombo,Colombo 3,0,0
10.0,950000.0,Colombo,Moratuwa,0,0
8.2,265000.0,Hambantota,Beliatta,0,0
10.0,975000.0,Colombo,Moratuwa,0,0
10.0,350000.0,Matara,Kamburugamuwa,1,1
6.0,3500000.0,Colombo,Moratuwa,0,0
26.5,1550000.0,Galle,Galle City,0,0
10.0,1550000.0,Gampaha,Miriswatta,0,0
10.0,350000.0,Gampaha,Negombo,0,0
23.5,260000.0,Gampaha,Ja-Ela,0,0
6.0,750000.0,Kalutara,Panadura,1,1
20.0,2650000.0,Colombo,Malabe,0,0
10.0,625000.0,Kalutara,Panadura,0,0
10.0,460000.0,Gampaha,Kadawatha,0,0
6.0,700000.0,Kalutara,Panadura,1,1
20.0,180000.0,Kalutara,Bandaragama,0,0
6.1,750000.0,Kalutara,Panadura,1,1
12.0,275000.0,Colombo,Athurugiriya,0,0
38.0,450000.0,Gampaha,Kadawatha,0,0
6.3,675000.0,Kalutara,Panadura,1,1
26.65,2800000.0,Colombo,Boralesgamuwa,0,0
12.5,155000.0,Kegalle,Kegalle City,0,0
12.5,390000.0,Gampaha,Ja-Ela,0,0
12.5,6500000.0,Colombo,Dehiwala,0,0
10.0,475000.0,Colombo,Padukka,0,0
15.0,110000.0,Kurunegala,Wariyapola,0,0
6.7,625000.0,Kalutara,Panadura,1,1
6.7,700000.0,Kalutara,Panadura,1,1
6.0,1500000.0,Matara,Dikwella,0,0
10.0,187500.0,Kegalle,Kegalle City,0,0
15.0,247500.0,Kegalle,Kegalle City,0,0
7.0,2850000.0,Colombo,Boralesgamuwa,1,1
20.0,2100000.0,Gampaha,Kadawatha,0,0
15.0,150000.0,Kurunegala,Kuliyapitiya,1,0
10.0,980000.0,Colombo,Talawatugoda,1,1
12.0,1525000.0,Anuradhapura,Anuradhapura City,0,0
80.0,1000000.0,Gampaha,Negombo,0,0
10.5,1700000.0,Colombo,Malabe,0,0
10.25,3700000.0,Colombo,Dehiwala,0,0
12.0,360000.0,Gampaha,Ja-Ela,0,0
11.4,2900000.0,Colombo,Rajagiriya,0,0
12.5,675000.0,Gampaha,Minuwangoda,1,1
12.5,350000.0,Gampaha,Veyangoda,0,0
6.5,1090000.0,Colombo,Athurugiriya,0,0
6.25,1850000.0,Colombo,Kottawa,0,0
8.0,2850000.0,Colombo,Boralesgamuwa,1,1
10.0,460000.0,Kalutara,Kalutara City,0,0
10.0,485000.0,Colombo,Homagama,0,0
20.0,2600000.0,Colombo,Kottawa,0,1
15.0,195000.0,Anuradhapura,Anuradhapura City,0,0
10.5,190476.19,Gampaha,Nittambuwa,0,0
6.0,675000.0,Colombo,Homagama,0,0
7.1,1400000.0,Colombo,Boralesgamuwa,0,0
10.0,250000.0,Colombo,Athurugiriya,0,0
90.0,250000.0,Gampaha,Nittambuwa,0,0
6.0,1600000.0,Colombo,Kottawa,1,1
10.0,4000000.0,Colombo,Ratmalana,0,0
10.0,190000.0,Kalutara,Kalutara City,0,0
18.0,1800000.0,Gampaha,Kadawatha,1,1
7.0,19950000.0,Colombo,Boralesgamuwa,1,1
10.0,510000.0,Kalutara,Gonapola,0,0
10.0,1150000.0,Colombo,Boralesgamuwa,0,0
10.0,300000.0,Kalutara,Bandaragama,0,0
26.0,10000000.0,Colombo,Colombo 6,0,0
6.5,1500000.0,Hambantota,Tangalla,0,0
394.0,1000000.0,Kalutara,Wadduwa,0,1
6.15,2900000.0,Colombo,Nugegoda,1,1
25.0,275000.0,Kurunegala,Pannala,0,0
12.5,155000.0,Colombo,Maharagama,0,0
10.0,405000.0,Kalutara,Talagala,0,0
6.0,650000.0,Colombo,Meegoda,0,0
1920.0,50000.0,Matara,Matara City,1,1
10.0,297500.0,Colombo,Piliyandala,0,0
8.3,1590000.0,Colombo,Talawatugoda,1,1
22.8,5500000.0,Colombo,Battaramulla,1,1
40.0,150000.0,Kalutara,Bandaragama,0,0
1240.0,56451.61,Galle,Galle City,0,0
10.0,2200000.0,Colombo,Pannipitiya,0,0
8.25,1800000.0,Colombo,Malabe,0,0
33.0,3500001.0,Colombo,Kotte,0,0
25.0,3000000.0,Gampaha,Kadawatha,0,0
12.5,155000.0,Kurunegala,Kurunegala City,0,0
10.0,187500.0,Kandy,Kandy City,0,0
19.5,5000000.0,Colombo,Nugegoda,0,0
13.7,1450000.0,Colombo,Pannipitiya,0,0
15.0,247500.0,Kurunegala,Kurunegala City,0,0
6.0,795000.0,Colombo,Kesbewa,0,0
12.5,155000.0,Anuradhapura,Anuradhapura City,0,0
10.0,190000.0,Colombo,Hanwella,0,0
8.3,3200000.0,Colombo,Boralesgamuwa,0,0
12.0,900000.0,Gampaha,Gampaha City,0,0
7.3,1700000.0,Galle,Karapitiya,0,0
6.0,1475000.0,Colombo,Pannipitiya,1,1
17.0,3600000.0,Colombo,Nugegoda,0,0
10.0,575000.0,Matara,Kamburugamuwa,0,0
12.5,155000.0,Gampaha,Gampaha City,0,0
6.0,650000.0,Gampaha,Kadawatha,0,0
9.25,347500.0,Matara,Matara City,0,0
6.7,1385000.0,Colombo,Piliyandala,0,0
10.0,650000.0,Colombo,Avissawella,0,0
12.5,155000.0,Kandy,Kandy City,0,0
10.0,8000000.0,Colombo,Colombo 5,0,0
12.5,155000.0,Colombo,Nugegoda,0,0
10.0,495000.0,Kalutara,Horana,0,0
157.0,325000.0,Galle,Hikkaduwa,0,0
10.0,893850.0,Gampaha,Gampaha City,0,0
6.2,385000.0,Colombo,Homagama,0,0
10.0,1275000.0,Colombo,Pannipitiya,0,0
15.0,385000.0,Matara,Matara City,0,0
10.0,187500.0,Kurunegala,Kurunegala City,0,0
9.6,415625.0,Galle,Galle City,1,1
13.7,4500000.0,Colombo,Talawatugoda,0,0
17.1,2300000.0,Colombo,Boralesgamuwa,0,0
11.0,1750000.0,Colombo,Malabe,1,1
13.0,330769.23,Kurunegala,Pannala,0,0
26.61,9000000.0,Colombo,Dehiwala,0,0
16.44,2850000.0,Colombo,Battaramulla,1,1
8.0,2500000.0,Colombo,Battaramulla,0,1
6.0,1325000.0,Gampaha,Gampaha City,0,0
9.0,850000.0,Galle,Karapitiya,0,0
8.0,880000.0,Colombo,Kottawa,0,0
7.0,650000.0,Gampaha,Kadawatha,0,0
7.8,384615.38,Gampaha,Kadawatha,0,0
10.0,2500000.0,Colombo,Boralesgamuwa,0,0
37.77,3500000.0,Colombo,Kottawa,0,0
10.0,460000.0,Gampaha,Gampaha City,0,0
8.8,1150000.0,Colombo,Boralesgamuwa,0,0
12.0,75000.0,Gampaha,Gampaha City,0,0
915.0,2500000.0,Gampaha,Negombo,1,1
9.5,1900000.0,Colombo,Ratmalana,0,0
6.3,650000.0,Gampaha,Kadawatha,0,0
10.0,900000.0,Gampaha,Gampaha City,0,0
10.0,900000.0,Gampaha,Kadawatha,0,0
223.0,900000.0,Gampaha,Negombo,0,1
11.3,1575000.0,Gampaha,Kiribathgoda,1,0
13.0,1600000.0,Colombo,Homagama,0,0
108.0,90000.0,Kalutara,Horana,1,1
10.85,800000.0,Gampaha,Ja-Ela,0,0
10.0,570000.0,Colombo,Kesbewa,0,0
6.2,645000.0,Colombo,Homagama,0,0
10.0,248500.0,Kandy,Kandy City,0,0
7.4,1250000.0,Colombo,Moratuwa,0,0
10.0,550000.0,Colombo,Kesbewa,0,0
11.0,1350000.0,Colombo,Talawatugoda,0,0
10.6,1850000.0,Colombo,Malabe,0,0
12.0,2093.75,Colombo,Godagama,0,0
8.0,995000.0,Colombo,Homagama,0,0
109.0,59633.03,Kurunegala,Kurunegala City,0,0
10.0,1225000.0,Colombo,Athurugiriya,0,0
10.0,248500.0,Anuradhapura,Anuradhapura City,0,0
6.5,1175000.0,Colombo,Piliyandala,0,0
9.0,850000.0,Galle,Galle City,0,0
6.0,1075000.0,Colombo,Piliyandala,0,1
10.0,225000.0,Matale,Matale City,0,0
70.0,1000000.0,Gampaha,Ganemulla,0,0
8.33,795000.0,Gampaha,Kadawatha,0,0
10.0,1900000.0,Colombo,Malabe,0,0
7.5,5000000.0,Colombo,Mount Lavinia,0,0
15.0,345000.0,Galle,Galle City,0,0
7.5,5000000.0,Colombo,Ratmalana,0,0
13.5,850000.0,Gampaha,Seeduwa,0,0
33.0,3500000.0,Colombo,Kotte,0,0
17.0,2200000.0,Gampaha,Kelaniya,0,0
15.0,200000.0,Gampaha,Gampaha City,0,0
14.35,16000000.0,Colombo,Colombo 2,0,0
10.0,570000.0,Kalutara,Bandaragama,0,0
12.5,2650000.0,Colombo,Athurugiriya,0,0
